1,2023-04-05 13:05:21,22,3,How can I concat two dicts in Python?,What is an easiest way to do do?,/static/images/questions/1.jpg
2,2023-04-05 13:10:52,5,3,What is the proper variable namimg in Python?,Is there a proper way to name the variable? What is the difference betwee variable and constant names?,
4,2023-04-05 13:22:08,0,3,Hosting a page created in Flask.,Are there any quick method to publish the web page created in Flask?,
5,2023-04-05 14:45:56,1,3,Are you familiar with the Big Familiy Card discounts?,Are there any options?,/static/images/questions/5.jpg
6,2023-04-05 15:03:19,2,3,SQL data server,I need help with finding a good company which will estabilish my network connection with SQL base. Do you know any?,/static/images/questions/6.jpg
7,2023-04-13 19:23:41,31,3,What,What the hell!,
8,2023-04-12 17:28:41,194,48,NBA GOAT,Who is the greatest of all time player in National Basketball Association? In another words "Who is the goat?",/static/images/questions/8.jpg
9,2023-04-06 18:46:26,2,3,Testing after changes,Standard testing process...,/static/images/questions/9.jpg
10,2023-04-10 19:03:43,3,3,The meaning of life,What is a meaning of life?,
11,2023-04-10 19:06:45,31,5,What is a meaning of life?,This is a fundamental question. Please answer me.,
12,2023-04-16 14:10:24,22,10,React-scripts is ignoring tests that end in .tsx,I'm currently trying to convert my project to TypeScript and it is almost working perfectly. All of my code builds and I everything renders correctly. The only issue is my tests,
